season,team,avg_class,freshman_min_pct,sophomore_min_pct,junior_min_pct,senior_min_pct,underclass_min_pct,player_count
2016,SMU,2.900,25.4,0.1,33.8,40.8,25.4,13
2016,Tennessee St.,3.263,6.8,11.5,30.3,51.4,18.3,13
2016,BYU,2.715,27.6,14.9,15.9,41.7,42.5,15
2016,IU Indy,2.884,14.0,10.5,48.5,27.0,24.5,12
2016,Albany,3.128,11.3,11.2,30.7,46.7,22.5,11
2016,East Tennessee St.,3.342,0.5,9.9,44.5,45.1,10.4,13
2016,Alcorn St.,3.349,6.6,9.2,27.1,57.2,15.8,13
2016,VMI,2.880,17.2,7.4,45.5,29.9,24.6,13
2016,Memphis,2.694,31.4,9.6,17.2,41.8,41.0,15
2016,Morehead St.,3.063,9.9,7.9,48.2,34.0,17.8,14
2016,Norfolk St.,2.902,9.9,29.7,20.5,39.8,39.7,12
2016,UNC Wilmington,2.606,19.2,20.3,41.0,19.4,39.6,14
2016,North Carolina,2.854,3.7,38.9,25.6,31.8,42.6,16
2016,Davidson,2.709,0.0,52.4,24.2,23.3,52.4,13
2016,UC Irvine,3.190,11.5,1.3,43.9,43.4,12.8,13
2016,Saint Joseph's,2.790,18.3,23.0,20.2,38.5,41.2,16
2016,Northwestern,2.605,19.7,32.2,15.9,32.2,51.9,12
2016,Mississippi,3.310,7.3,8.8,29.6,54.3,16.0,13
2016,Boise St.,3.184,7.4,14.2,31.1,47.4,21.5,11
2016,UNC Asheville,2.148,32.1,35.7,17.6,14.6,67.7,12
2016,Drake,2.116,23.3,48.5,21.3,6.8,71.9,11
